Inference - SOTS_outdoor
save_image: True
data_path: ../dataset/SOTS/outdoor/hazy
gt_path: ../dataset/SOTS/outdoor/clear
model_path: ../pretrained_models/SOTS_outdoor.pt
result_path: ../infer_results/infer_SOTS_outdoor
size_must_mode: 4
device: cuda
Loading model from ../pretrained_models/SOTS_outdoor.pt
> 0064_1 PSNR=26.071, SSIM=0.9700 pre_time:0.023s, forward_time:0.167s, post_time:0.442s, total_time:0.632s
> 0065_1 PSNR=35.909, SSIM=0.9925 pre_time:0.016s, forward_time:0.163s, post_time:0.408s, total_time:0.587s
> 0066_1 PSNR=33.261, SSIM=0.9909 pre_time:0.012s, forward_time:0.154s, post_time:0.665s, total_time:0.832s
> 0068_1 PSNR=30.120, SSIM=0.9733 pre_time:0.026s, forward_time:1.480s, post_time:0.745s, total_time:2.251s
> 0069_1 PSNR=24.805, SSIM=0.9571 pre_time:0.014s, forward_time:0.121s, post_time:0.334s, total_time:0.469s
> 0070_1 PSNR=35.497, SSIM=0.9877 pre_time:0.023s, forward_time:1.056s, post_time:0.733s, total_time:1.813s
> 0071_1 PSNR=27.446, SSIM=0.9784 pre_time:0.013s, forward_time:0.243s, post_time:0.459s, total_time:0.715s
> 0072_1 PSNR=29.895, SSIM=0.9773 pre_time:0.011s, forward_time:0.121s, post_time:0.397s, total_time:0.528s
> 0073_1 PSNR=31.231, SSIM=0.9806 pre_time:0.015s, forward_time:0.156s, post_time:0.434s, total_time:0.606s
> 0074_1 PSNR=29.817, SSIM=0.9761 pre_time:0.025s, forward_time:0.521s, post_time:0.926s, total_time:1.472s
> 0075_1 PSNR=25.533, SSIM=0.9723 pre_time:0.033s, forward_time:0.289s, post_time:0.720s, total_time:1.043s
> 0076_1 PSNR=25.162, SSIM=0.9718 pre_time:0.013s, forward_time:0.738s, post_time:0.569s, total_time:1.321s
> 0076_2 PSNR=27.846, SSIM=0.9748 pre_time:0.019s, forward_time:0.138s, post_time:0.373s, total_time:0.530s
> 0077_1 PSNR=30.177, SSIM=0.9753 pre_time:0.031s, forward_time:1.294s, post_time:1.099s, total_time:2.425s
> 0079_1 PSNR=31.200, SSIM=0.9872 pre_time:0.013s, forward_time:0.249s, post_time:0.481s, total_time:0.742s
> 0081_1 PSNR=27.286, SSIM=0.9830 pre_time:0.021s, forward_time:1.234s, post_time:0.767s, total_time:2.023s
> 0082_1 PSNR=33.186, SSIM=0.9836 pre_time:0.015s, forward_time:0.342s, post_time:0.547s, total_time:0.905s
> 0083_1 PSNR=36.615, SSIM=0.9862 pre_time:0.015s, forward_time:0.160s, post_time:0.589s, total_time:0.764s
> 0084_1 PSNR=33.746, SSIM=0.9826 pre_time:0.018s, forward_time:0.156s, post_time:0.370s, total_time:0.544s
> 0085_1 PSNR=33.953, SSIM=0.9870 pre_time:0.030s, forward_time:0.295s, post_time:0.784s, total_time:1.108s
> 0086_1 PSNR=29.185, SSIM=0.9733 pre_time:0.014s, forward_time:0.167s, post_time:0.465s, total_time:0.646s
> 0086_2 PSNR=35.184, SSIM=0.9843 pre_time:0.016s, forward_time:0.156s, post_time:0.419s, total_time:0.591s
> 0087_1 PSNR=33.601, SSIM=0.9836 pre_time:0.019s, forward_time:1.102s, post_time:0.691s, total_time:1.813s
> 0088_1 PSNR=30.628, SSIM=0.9845 pre_time:0.016s, forward_time:0.161s, post_time:0.370s, total_time:0.547s
> 0089_1 PSNR=29.766, SSIM=0.9785 pre_time:0.038s, forward_time:1.467s, post_time:1.010s, total_time:2.515s
> 0090_1 PSNR=31.051, SSIM=0.9871 pre_time:0.024s, forward_time:0.429s, post_time:0.653s, total_time:1.106s
> 0091_1 PSNR=23.331, SSIM=0.9667 pre_time:0.024s, forward_time:1.149s, post_time:0.678s, total_time:1.851s
> 0092_1 PSNR=27.440, SSIM=0.9785 pre_time:0.037s, forward_time:1.178s, post_time:0.721s, total_time:1.936s
> 0093_1 PSNR=18.619, SSIM=0.9272 pre_time:0.018s, forward_time:0.157s, post_time:0.618s, total_time:0.793s
> 0094_1 PSNR=25.762, SSIM=0.9769 pre_time:0.028s, forward_time:0.170s, post_time:0.624s, total_time:0.822s
> 0095_1 PSNR=30.868, SSIM=0.9871 pre_time:0.017s, forward_time:0.180s, post_time:0.451s, total_time:0.648s
> 0096_1 PSNR=28.433, SSIM=0.9831 pre_time:0.020s, forward_time:0.315s, post_time:0.526s, total_time:0.861s
> 0097_1 PSNR=34.949, SSIM=0.9912 pre_time:0.018s, forward_time:0.161s, post_time:0.605s, total_time:0.783s
> 0098_1 PSNR=28.419, SSIM=0.9778 pre_time:0.027s, forward_time:1.220s, post_time:0.637s, total_time:1.884s
