Inference - SOTS_indoor
save_image: True
data_path: ../dataset/SOTS/indoor/hazy
gt_path: ../dataset/SOTS/indoor/clear
model_path: ../pretrained_models/SOTS_indoor.pt
result_path: ../infer_results/infer_SOTS_indoor
size_must_mode: 4
device: cuda
Loading model from ../pretrained_models/SOTS_indoor.pt
> 1404_7 PSNR=35.892, SSIM=0.9907 pre_time:0.020s, forward_time:0.202s, post_time:0.495s, total_time:0.717s
> 1404_8 PSNR=35.138, SSIM=0.9892 pre_time:0.021s, forward_time:0.197s, post_time:0.502s, total_time:0.720s
> 1404_9 PSNR=34.163, SSIM=0.9875 pre_time:0.020s, forward_time:0.198s, post_time:0.529s, total_time:0.747s
> 1405_1 PSNR=36.696, SSIM=0.9947 pre_time:0.020s, forward_time:0.199s, post_time:0.505s, total_time:0.724s
> 1405_10 PSNR=34.092, SSIM=0.9882 pre_time:0.024s, forward_time:0.199s, post_time:0.519s, total_time:0.742s
> 1405_2 PSNR=33.887, SSIM=0.9869 pre_time:0.020s, forward_time:0.199s, post_time:0.527s, total_time:0.746s
> 1405_3 PSNR=36.048, SSIM=0.9938 pre_time:0.022s, forward_time:0.196s, post_time:0.497s, total_time:0.715s
> 1405_4 PSNR=36.006, SSIM=0.9933 pre_time:0.022s, forward_time:0.200s, post_time:0.485s, total_time:0.707s
> 1405_5 PSNR=35.905, SSIM=0.9928 pre_time:0.022s, forward_time:0.197s, post_time:0.488s, total_time:0.706s
> 1405_6 PSNR=35.342, SSIM=0.9919 pre_time:0.021s, forward_time:0.199s, post_time:0.485s, total_time:0.705s
> 1405_7 PSNR=35.008, SSIM=0.9911 pre_time:0.021s, forward_time:0.197s, post_time:0.498s, total_time:0.716s
> 1405_8 PSNR=34.995, SSIM=0.9904 pre_time:0.023s, forward_time:0.199s, post_time:0.561s, total_time:0.783s
> 1405_9 PSNR=34.562, SSIM=0.9895 pre_time:0.020s, forward_time:0.200s, post_time:0.503s, total_time:0.723s
> 1406_1 PSNR=40.973, SSIM=0.9955 pre_time:0.022s, forward_time:0.199s, post_time:0.517s, total_time:0.738s
> 1406_10 PSNR=35.917, SSIM=0.9888 pre_time:0.028s, forward_time:0.199s, post_time:0.497s, total_time:0.724s
> 1406_2 PSNR=34.895, SSIM=0.9875 pre_time:0.021s, forward_time:0.198s, post_time:0.508s, total_time:0.727s
> 1406_3 PSNR=40.974, SSIM=0.9949 pre_time:0.021s, forward_time:0.199s, post_time:0.507s, total_time:0.727s
> 1406_4 PSNR=40.081, SSIM=0.9943 pre_time:0.024s, forward_time:0.201s, post_time:0.497s, total_time:0.722s
> 1406_5 PSNR=39.550, SSIM=0.9936 pre_time:0.021s, forward_time:0.200s, post_time:0.506s, total_time:0.727s
